name,vacancy_rate,rental_stock,population,rental_pop,state,region
Yarramundi,0.4,1,840.0,2.56,New South Wales,Hawkesbury
Londonderry,0.98,13,3904.0,16.68,New South Wales,Penrith
Erskine Park,0.51,11,6434.0,15.81,New South Wales,Penrith
St Clair,0.74,12,1712.0,39.46,South Australia,Charles Sturt
Colyton,1.07,35,8432.0,26.2,New South Wales,Penrith
Oxley Park,1.83,31,3111.0,34.1,New South Wales,Penrith
St Marys,2.14,137,12199.0,43.12,New South Wales,Penrith
North St Marys,1.44,23,3926.0,42.64,New South Wales,Penrith
Auburn,1.71,233,37368.0,42.08,New South Wales,Cumberland
Berala,1.23,38,9053.0,37.1,New South Wales,Cumberland
Lidcombe,2.77,308,19624.0,35.97,New South Wales,Cumberland
Regents Park,0.83,32,10963.0,25.22,Queensland,Logan
Newington,1.54,32,5805.0,28.71,New South Wales,Parramatta
Wentworth Point,3.61,306,7001.0,50.92,New South Wales,Parramatta
Sydney Olympic Park,6.06,134,1740.0,51.69,New South Wales,Parramatta
Ermington,1.06,54,10739.0,35.68,New South Wales,Parramatta
Rydalmere,1.54,45,6640.0,34.97,New South Wales,Parramatta
Oatlands,0.78,16,5659.0,22.46,New South Wales,Parramatta
Dundas Valley,0.82,19,5408.0,32.72,New South Wales,Parramatta
Carlingford,1.47,160,24392.0,25.54,New South Wales,Parramatta
Chester Hill,0.85,43,12816.0,34.47,New South Wales,Canterbury-Bankstown
Sefton,1.0,22,5811.0,28.63,New South Wales,Canterbury-Bankstown
Fairfield,1.28,90,18080.0,49.8,New South Wales,Fairfield
Granville,1.71,120,15332.0,44.98,New South Wales,Cumberland
Clyde,1.97,134,2115.0,20.08,Victoria,Casey
Guildford,1.3,113,22329.0,38.65,New South Wales,Cumberland
South Granville,0.83,18,5497.0,40.98,New South Wales,Cumberland
Guildford West,1.31,25,4915.0,24.85,New South Wales,Cumberland
Merrylands West,1.29,35,6589.0,38.14,New South Wales,Cumberland
Greystanes,0.98,82,22803.0,16.79,New South Wales,Cumberland
Merrylands,1.7,230,29647.0,40.31,New South Wales,Cumberland
Holroyd,0.84,4,1275.0,46.75,New South Wales,Cumberland
Pemulwuy,1.71,36,5013.0,18.72,New South Wales,Cumberland
South Wentworthville,1.55,41,6205.0,30.79,New South Wales,Cumberland
North Parramatta,1.7,97,13246.0,48.16,New South Wales,Parramatta
North Rocks,1.0,35,7962.0,12.67,New South Wales,Parramatta
