Suburb,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%),Previous month sales,Stock on market previous month,Stock variance vs. last year (%),Average days on market
Manning Point,,,,,,,,0.0,2.0,-33.33,
Red Head,1062500.0,-2.22,1.19,1.19,680.0,3.32,-2.86,2.0,28.0,3.7,224.0
Taree,550000.0,0.0,1.85,3.77,450.0,4.25,0.0,23.0,119.0,13.33,95.0
Wingham,559500.0,-1.97,1.72,5.76,450.0,4.18,4.65,6.0,33.0,32.0,101.0
Albury,800000.0,5.13,0.0,-8.05,495.0,3.21,6.45,5.0,31.0,24.0,91.0
Lavington,519000.0,0.0,5.38,10.42,460.0,4.6,9.52,14.0,44.0,-37.14,70.0
Hay,269500.0,0.0,-9.87,-3.58,,,,1.0,21.0,-4.55,223.0
Wentworth,300000.0,1.85,30.43,-3.07,,,,1.0,12.0,33.33,185.0
Buronga,410000.0,-11.83,0.0,-2.39,420.0,5.32,,0.0,10.0,25.0,108.0
Corowa,547000.0,4.76,12.32,22.92,450.0,4.27,9.75,4.0,44.0,-25.42,109.0
Deniliquin,395000.0,3.94,9.72,21.53,375.0,4.93,7.14,0.0,48.0,-5.88,87.0
Moama,835000.0,0.0,10.59,28.56,550.0,3.42,0.0,12.0,129.0,57.32,96.0
Tocumwal,590000.0,7.4,18.23,12.27,380.0,3.34,4.1,6.0,71.0,54.35,144.0
Finley,350000.0,0.0,0.0,11.11,370.0,5.49,5.71,3.0,15.0,-11.76,130.0
Jerilderie,355000.0,4.64,7.73,33.96,,,,0.0,12.0,33.33,195.0
Armidale,560000.0,1.81,5.66,3.7,450.0,4.17,2.27,22.0,183.0,6.4,117.0
Walcha,440000.0,1.19,6.66,18.91,,,,1.0,23.0,-39.47,254.0
Glen Innes,400000.0,3.26,11.11,14.28,350.0,4.55,0.0,2.0,61.0,-10.29,223.0
Inverell,429000.0,0.0,4.76,11.42,380.0,4.6,5.55,6.0,106.0,0.95,124.0
Tenterfield,520000.0,1.51,7.21,10.63,425.0,4.25,7.59,4.0,51.0,-12.07,156.0
Moree,385000.0,2.7,10.15,20.68,360.0,4.86,2.85,6.0,103.0,27.16,268.0
Narrabri,450000.0,1.0,5.88,14.64,500.0,5.77,8.69,1.0,51.0,0.0,139.0
Gunnedah,467500.0,1.0,11.3,16.87,480.0,5.33,3.22,4.0,63.0,-13.7,86.0
Quirindi,449000.0,4.19,30.14,40.31,420.0,4.86,5.0,3.0,30.0,7.14,72.0
Tamworth,630000.0,4.92,10.72,26.25,450.0,3.71,7.14,0.0,12.0,-29.41,95.0
Belmont,670000.0,1.34,-1.48,-2.9,480.0,3.72,2.12,20.0,80.0,-15.79,66.0
Bennetts Green,,,,,,,,0.0,0.0,0.0,
Belmont South,940000.0,5.82,22.07,,620.0,3.42,27.83,1.0,4.0,0.0,105.0
Blacksmiths,997500.0,-12.59,-9.32,-7.21,685.0,3.57,3.0,1.0,10.0,25.0,95.0
Charlestown,900000.0,0.56,2.27,3.74,650.0,3.75,12.06,20.0,51.0,-12.07,68.0
Dudley,1350000.0,-0.87,-1.82,5.55,700.0,2.69,1.44,5.0,12.0,9.09,78.0
Glendale,800000.0,0.0,0.37,0.12,595.0,3.86,8.18,5.0,20.0,150.0,73.0
Cardiff,775000.0,1.66,10.71,10.71,595.0,3.99,8.18,8.0,19.0,-24.0,42.0
Mount Hutton,774500.0,0.0,5.37,3.26,605.0,4.06,4.31,4.0,11.0,-50.0,55.0
Windale,,-0.83,,,520.0,,10.63,0.0,3.0,-66.67,65.0
Redhead,1450000.0,3.1,0.0,9.43,735.0,2.63,-2.0,6.0,23.0,-14.81,67.0
Swansea,1000000.0,0.55,5.26,2.04,610.0,3.17,8.92,12.0,43.0,26.47,112.0
Caves Beach,1537500.0,0.84,3.88,9.89,780.0,2.63,11.42,3.0,35.0,-2.78,129.0
Valentine,1050000.0,-0.46,-4.55,5.0,740.0,3.66,8.82,3.0,18.0,-10.0,72.0
Eleebana,1222500.0,0.0,-5.97,-1.02,730.0,3.1,1.38,6.0,24.0,14.29,70.0
Warners Bay,950000.0,5.55,6.14,5.79,650.0,3.55,8.33,9.0,29.0,3.57,61.0
Boolaroo,966500.0,0.05,8.47,28.86,735.0,3.95,22.5,2.0,16.0,-5.88,84.0
Bolton Point,800000.0,0.06,-5.33,-5.89,595.0,3.86,14.42,6.0,16.0,60.0,118.0
Teralba,950000.0,0.97,5.37,5.55,720.0,3.94,5.88,6.0,34.0,-12.82,72.0
Bonnells Bay,839000.0,1.26,1.08,0.53,570.0,3.53,6.54,12.0,25.0,-7.41,81.0
Edgeworth,866500.0,-0.12,1.94,4.83,600.0,3.6,3.44,6.0,103.0,-24.26,119.0
Cameron Park,885000.0,1.14,1.72,-0.45,730.0,4.28,5.03,5.0,50.0,-21.88,87.0
Morisset,790000.0,-5.07,12.85,19.87,570.0,3.75,3.63,4.0,20.0,-42.86,171.0
Cooranbong,880000.0,0.62,3.59,3.52,650.0,3.84,8.33,11.0,114.0,42.5,132.0
Toronto,775000.0,-0.32,3.33,7.63,525.0,3.52,0.96,8.0,32.0,-11.11,78.0
Awaba,,,,,,,,2.0,2.0,100.0,
